622;966804131;93133619024;ivone queiroz;ivone;ivone238
891;779001526;45655304410;vanderley antunes;vanderley;vanderley275
180;661218248;13016284019;maura flores;maura;maura319
570;533665992;86736961703;liliane oliveira;liliane;liliane500
833;571351156;49565916307;paola baptista;paola;paola973
254;888365668;51816626270;janice guterres;janice;janice296
761;763574152;38117755467;cameron figueiroa;cameron;cameron233
12;696074923;66372122789;justina santana;justina;justina523
785;969489315;45389995132;regina ferreira;regina;regina493
180;117007180;76221933652;angel nogueira;angel;angel494
